,Doc. Date,Material,Order qty,Ship-to nu,PCS delivered,HL delivered,delivery_days,delivery_flag,lead_time_creation_vs_rdd_flag,MACO/HL ,Groupement,Postal Code,Street,Sous groupement,M2_Territory_ID,M1_Territory_ID,Dépt,Brand,Subrand,SEGMENTS : Pils / Spécialités / Superspécialités/Bouteille Young adult,Container Type,Container Size,Variétés,Segment LE,Latitude,Longitude,Degre Alc,TTC,Brut + TE,Net + TE - Hors majoration de rompu de palette,DA
0,2021-01-11 00:00:00,10946,5,29606863,350,21,7,1,1,"150,689825",FRANCE BOISSONS,59160,RUE DU CHEMIN SAINT MARTIN,France BOISSONS,FR01_ON_1000,FR01_ON_1004,59,LEFFE,LEFFE BLONDE,Spécialités,PERFECT DRAFT,"6,000 L",Blonde,PREMIUM,"50,6455","2,9619","6,6","18,137448","15,582","15,11454",0
1,2021-01-11 00:00:00,19898,2,29606863,140,"8,4",7,1,1,"141,2079043",FRANCE BOISSONS,59160,RUE DU CHEMIN SAINT MARTIN,France BOISSONS,FR01_ON_1000,FR01_ON_1004,59,,,,,,,,"50,6455","2,9619",5,"17,3964672","14,688","14,497056",0
2,2021-01-11 00:00:00,80176,4,29606863,280,"16,8",7,1,1,"92,87230704",FRANCE BOISSONS,59160,RUE DU CHEMIN SAINT MARTIN,France BOISSONS,FR01_ON_1000,FR01_ON_1004,59,,,,,,,,"50,6455","2,9619",0,"12,2798592","10,368","10,233216",0
3,2021-01-11 00:00:00,66989,1,29606863,70,"4,2",7,1,1,"195,3340351",FRANCE BOISSONS,59160,RUE DU CHEMIN SAINT MARTIN,France BOISSONS,FR01_ON_1000,FR01_ON_1004,59,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,PERFECT DRAFT,"6,000 L",-,SUPER PREMIUM,"50,6455","2,9619",8,"21,996","18,33","18,33",0
4,2021-01-08 00:00:00,11766,70,29378784,70,"4,2",6,1,1,"142,9023785",INDEPENDANTS,62570,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62,,,,,,,,"50,6978","2,2423","5,2","17,3592","14,466","14,466",0
5,2021-01-08 00:00:00,16550,300,29378784,300,27,6,1,1,"25,34558606",INDEPENDANTS,62570,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62,,,,,,,,"50,6978","2,2423","3,8","6,408","5,34","5,34",0
6,2021-01-08 00:00:00,16519,100,29378784,100,9,6,1,1,"38,30646835",INDEPENDANTS,62570,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62,,,,,,,,"50,6978","2,2423","4,6","7,7472","6,456","6,456",0
7,2021-01-08 00:00:00,66989,70,29378784,70,"4,2",6,1,1,"195,3340351",INDEPENDANTS,62570,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,PERFECT DRAFT,"6,000 L",-,SUPER PREMIUM,"50,6978","2,2423",8,"21,996","18,33","18,33",0
8,2021-01-08 00:00:00,10946,140,29378784,140,"8,4",6,1,1,"150,689825",INDEPENDANTS,62570,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62,LEFFE,LEFFE BLONDE,Spécialités,PERFECT DRAFT,"6,000 L",Blonde,PREMIUM,"50,6978","2,2423","6,6","18,6984","15,582","15,582",0
9,2021-01-08 00:00:00,29777,70,29378784,70,"4,2",6,1,1,"133,0953046",INDEPENDANTS,62570,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62,,,,,,,,"50,6978","2,2423",5,"12,5856","10,488","10,488",0
